Sample 	Pool	Tissue	Allreads	VIRUS_reads
Skin10	RCA_Skin10_S22_L001	Skin	1326450	849
Skin11	RCA_Skin11_S23_L001	Skin	814645	15
Skin12	RCA_Skin12_S24_L001	Skin	4206823	5939
Skin1	RCA_Skin1_S13_L001	Skin	52567	4
Skin2	RCA_Skin2_S14_L001	Skin	1623436	1283
Skin3	RCA_Skin3_S15_L001	Skin	1030565	19807
Skin4	RCA_Skin4_S16_L001	Skin	2720371	83
Skin5	RCA_Skin5_S17_L001	Skin	4520666	60374
Skin6	RCA_Skin6_S18_L001	Skin	262515	10
Skin7	RCA_Skin7_S19_L001	Skin	1985962	90
Skin8	RCA_Skin8_S20_L001	Skin	4390902	2883
Skin9	RCA_Skin9_S21_L001	Skin	565628	8111
Vulva10	RCA_Vulva10_S10_L001	Vulva	202544	10
Vulva11	RCA_Vulva11_S11_L001	Vulva	179601	0
Vulva12	RCA_Vulva12_S12_L001	Vulva	54981	2
Vulva1	RCA_Vulva1_S1_L001	Vulva	36867	0
Vulva2	RCA_Vulva2_S2_L001	Vulva	130999	0
Vulva3	RCA_Vulva3_S3_L001	Vulva	1986125	13990
Vulva4	RCA_Vulva4_S4_L001	Vulva	55454	36
Vulva5	RCA_Vulva5_S5_L001	Vulva	88452	78
Vulva6	RCA_Vulva6_S6_L001	Vulva	150473	523
Vulva7	RCA_Vulva7_S7_L001	Vulva	166828	14949
Vulva8	RCA_Vulva8_S8_L001	Vulva	116443	0
Vulva9	RCA_Vulva9_S9_L001	Vulva	90154	99
